FunderID,ProjectID,Funder,GrantID,StartDate,EndDate,DateCreated,DateUpdated,UserID,DateDeleted,ExportID
254,79,33,,10/1/2010,12/31/9999,10/10/14 1:38,12/12/14 12:54,178107,,8094
255,130,33,,10/1/2010,12/31/9999,10/10/14 1:43,12/12/14 12:54,178107,,8094
256,78,33,,10/1/2010,12/31/9999,10/10/14 1:46,12/12/14 12:54,178107,,8094
282,79,16,,10/1/2010,12/31/9999,12/12/14 2:57,12/12/14 2:58,178107,,8094
283,130,16,,10/1/2010,12/31/9999,12/12/14 2:58,12/12/14 2:58,178107,,8094
284,78,16,,10/1/2010,12/31/9999,12/12/14 2:58,12/12/14 2:59,178107,,8094
